City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tome,CL,-36.6167,-72.95,47.12,79,34,5.32,scattered clouds
1,Kodiak,US,57.79,-152.4072,44.76,98,100,2.8,overcast clouds
2,Bani Walid,LY,31.7566,13.9942,66.34,72,64,7.65,broken clouds
3,Chokurdakh,RU,70.6333,147.9167,62.1,27,11,14.38,few clouds
4,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,54,20,10.94,few clouds
5,Newport,GB,51.5877,-2.9984,55.53,82,2,6.91,clear sky
6,Puerto Ayora,EC,-0.7393,-90.3518,73.54,88,13,5.01,few clouds
7,Cardston,CA,49.2,-113.3019,59.04,47,39,8.1,scattered clouds
8,Mahebourg,MU,-20.4081,57.7,74.25,82,15,7.05,few clouds
9,Grindavik,IS,63.8424,-22.4338,46.87,100,90,33.13,heavy intensity rain
10,Albany,US,42.6001,-73.9662,48.63,85,100,1.63,overcast clouds
11,Hithadhoo,MV,-0.6,73.0833,83.34,72,52,17.18,broken clouds
12,Codrington,AU,-38.2667,141.9667,56.93,52,6,6.71,clear sky
13,Cape Town,ZA,-33.9258,18.4232,54.12,100,20,4.79,few clouds
14,Denpasar,ID,-8.65,115.2167,83.86,79,20,6.85,few clouds
15,Homer,US,59.6425,-151.5483,49.8,76,100,14.0,light rain
16,Orchard Homes,US,46.8633,-114.0484,62.74,45,1,8.05,clear sky
17,Bredasdorp,ZA,-34.5322,20.0403,48.27,92,81,3.04,broken clouds
18,Sturgeon Falls,CA,46.3646,-79.9326,47.55,58,0,6.08,clear sky
19,Severo-Kurilsk,RU,50.6789,156.125,41.94,88,100,10.18,overcast clouds
20,Bambous Virieux,MU,-20.3428,57.7575,74.21,81,26,6.89,scattered clouds
21,Thompson,CA,55.7435,-97.8558,51.96,93,75,6.91,broken clouds
22,Tasiilaq,GL,65.6145,-37.6368,37.56,96,100,18.72,light rain
23,Rumoi,JP,43.9344,141.6428,52.18,83,100,12.06,overcast clouds
24,Ribeira Grande,PT,38.5167,-28.7,64.06,79,100,5.68,overcast clouds
25,Leningradskiy,RU,69.3833,178.4167,37.62,97,90,6.15,overcast clouds
26,Upernavik,GL,72.7868,-56.1549,30.99,94,100,15.97,overcast clouds
27,Busselton,AU,-33.65,115.3333,58.05,79,64,20.24,broken clouds
28,Mataura,NZ,-46.1927,168.8643,49.48,96,100,5.79,overcast clouds
29,Airai,TL,-8.9266,125.4092,73.36,49,86,2.44,overcast clouds
30,Santa Fe,AR,-31.6333,-60.7,53.01,67,0,1.99,clear sky
31,Arraial Do Cabo,BR,-22.9661,-42.0278,74.88,87,45,2.46,scattered clouds
32,Hermanus,ZA,-34.4187,19.2345,53.91,80,92,4.14,overcast clouds
33,Hokitika,NZ,-42.7167,170.9667,49.21,87,100,8.01,moderate rain
34,Bud,US,39.447,-86.1758,53.98,72,4,6.82,clear sky
35,Esperance,AU,-33.8667,121.9,64.72,64,0,19.39,clear sky
36,Muros,ES,42.7762,-9.0603,63.84,71,24,10.13,few clouds
37,Grafton,US,42.207,-71.6856,47.5,85,100,8.97,overcast clouds
38,Talaya,RU,61.3833,152.75,48.92,50,77,12.26,broken clouds
39,Zeya,RU,53.75,127.2667,51.22,88,100,1.01,light rain
40,Hasaki,JP,35.7333,140.8333,78.19,79,100,16.93,overcast clouds
41,Carauari,BR,-4.8828,-66.8958,74.97,92,55,0.43,broken clouds
42,Port Alfred,ZA,-33.5906,26.891,57.49,83,89,10.69,light rain
43,Roma,US,43.2128,-75.4557,53.83,80,1,4.61,clear sky
44,Pemangkat,ID,1.1667,108.9667,85.17,67,17,1.25,few clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,43.12,58,14,11.99,few clouds
46,Vaini,TO,-21.2,-175.2,77.9,84,62,13.73,light rain
47,Ushuaia,AR,-54.8,-68.3,22.87,98,94,4.0,light snow
48,Cabo San Lucas,MX,22.8909,-109.9124,89.82,59,59,16.62,broken clouds
49,Taranagar,IN,28.6709,75.0351,97.14,28,2,13.94,clear sky
50,Necochea,AR,-38.5473,-58.7368,40.03,56,49,16.69,scattered clouds
51,Yellowknife,CA,62.456,-114.3525,49.32,49,94,7.09,overcast clouds
52,Qurayyat,SA,31.3318,37.3428,67.41,42,31,7.61,scattered clouds
53,Saldanha,ZA,-33.0117,17.9442,56.53,83,0,2.84,clear sky
54,Lar,IN,26.2039,83.9717,86.34,66,22,6.91,few clouds
55,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,0,5.28,clear sky
56,Bethel,US,41.3712,-73.414,47.71,84,100,4.0,overcast clouds
57,Hambantota,LK,6.1241,81.1185,82.74,83,40,22.95,scattered clouds
58,Jamestown,US,42.097,-79.2353,47.71,91,100,1.01,moderate rain
59,Byron Bay,AU,-28.65,153.6167,67.95,77,100,17.09,overcast clouds
60,Carahue,CL,-38.7,-73.1667,44.98,83,62,2.28,broken clouds
61,East London,ZA,-33.0153,27.9116,57.56,84,57,12.55,moderate rain
62,Tuktoyaktuk,CA,69.4541,-133.0374,32.09,81,37,6.24,scattered clouds
63,Trabzon,TR,40.9167,39.8333,57.29,94,75,2.3,broken clouds
64,Otake,JP,34.2,132.2167,74.01,48,32,4.54,scattered clouds
65,Belinskiy,RU,52.9647,43.4165,62.89,84,83,4.74,broken clouds
66,Nikolskoye,RU,59.7035,30.7861,46.29,72,6,4.05,clear sky
67,Anadyr,RU,64.75,177.4833,37.27,66,43,4.43,scattered clouds
68,Butaritari,KI,3.0707,172.7902,83.1,78,93,15.14,overcast clouds
69,Aklavik,CA,68.2191,-135.0107,37.42,56,99,8.88,overcast clouds
70,Hobart,AU,-42.8794,147.3294,57.25,67,75,1.99,broken clouds
71,Quang Ngai,VN,15.1167,108.8,97.54,43,50,5.23,scattered clouds
72,Dunedin,NZ,-45.8742,170.5036,50.81,97,100,9.48,light rain
73,Zheleznodorozhnyy,RU,55.7503,38.0042,46.58,82,100,11.83,overcast clouds
74,Tallahassee,US,30.4383,-84.2807,78.64,69,84,6.55,broken clouds
75,Bemidji,US,47.4736,-94.8803,55.56,61,40,5.75,scattered clouds
76,Rikitea,PF,-23.1203,-134.9692,76.5,86,100,24.23,light rain
77,Tuatapere,NZ,-46.1333,167.6833,49.82,93,100,8.72,light rain
78,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,81,20,14.41,few clouds
79,Yulara,AU,-25.2406,130.9889,65.52,28,100,12.64,overcast clouds
80,Sarakhs,IR,36.5449,61.1577,92.32,12,0,2.17,clear sky
81,Batagay,RU,67.6333,134.6333,51.17,58,99,9.08,overcast clouds
82,Geraldton,AU,-28.7667,114.6,65.12,82,75,19.57,broken clouds
83,Kiama,AU,-34.6833,150.8667,62.38,62,87,5.99,overcast clouds
84,Punta Arenas,CL,-53.15,-70.9167,33.12,64,59,12.39,broken clouds
85,Bluff,NZ,-46.6,168.3333,49.8,92,100,22.66,light rain
86,Kapaa,US,22.0752,-159.319,80.58,67,86,1.01,overcast clouds
87,Mugango,TZ,-1.6833,33.7,69.19,76,91,4.94,overcast clouds
88,Tripoli,LY,32.8752,13.1875,68.95,76,86,11.79,overcast clouds
89,Mokhotlong,LS,-29.2894,29.0675,31.98,69,14,2.84,few clouds
90,Kahului,US,20.8947,-156.47,79.97,80,81,5.99,broken clouds
91,Altus,US,34.6381,-99.334,71.67,66,40,9.22,scattered clouds
92,Port Hardy,CA,50.6996,-127.4199,53.91,76,99,8.39,overcast clouds
93,Victoria,HK,22.2855,114.1577,89.65,79,100,1.01,overcast clouds
94,Hobyo,SO,5.3505,48.5268,78.31,82,95,18.63,overcast clouds
95,Shakawe,BW,-18.3667,21.85,49.95,38,0,3.13,clear sky
96,Ukiah,US,39.1502,-123.2078,79.52,50,1,11.5,clear sky
97,Cayenne,GF,4.9333,-52.3333,79.09,89,75,1.01,broken clouds
98,Saskylakh,RU,71.9167,114.0833,39.18,83,36,8.9,scattered clouds
99,Ancud,CL,-41.8697,-73.8203,50.23,88,100,9.15,light rain
100,Iracoubo,GF,5.4802,-53.2011,77.05,91,77,9.33,broken clouds
101,Cherskiy,RU,68.75,161.3,60.96,31,77,10.69,broken clouds
102,Dikson,RU,73.5069,80.5464,27.18,85,68,5.91,broken clouds
103,Noumea,NC,-22.2763,166.4572,71.58,64,84,13.35,broken clouds
104,Atuona,PF,-9.8,-139.0333,79.32,70,33,8.05,scattered clouds
105,Padang,ID,-0.9492,100.3543,86.05,66,82,2.57,broken clouds
106,Sibolga,ID,1.7427,98.7792,85.39,64,93,3.0,overcast clouds
107,Asau,RO,46.4333,26.4,53.96,100,100,1.7,overcast clouds
108,Lagoa,PT,39.05,-27.9833,62.56,80,49,6.51,scattered clouds
109,Saint-Augustin,CA,51.226,-58.6502,46.15,61,10,6.46,clear sky
110,Constitucion,CL,-35.3333,-72.4167,50.58,77,79,6.87,broken clouds
111,Castro,BR,-24.7911,-50.0119,59.36,92,19,2.15,light rain
112,Vardo,NO,70.3705,31.1107,41.05,79,100,19.89,overcast clouds
113,Nikolayevsk-Na-Amure,RU,53.1406,140.73,52.79,64,97,8.32,overcast clouds
114,Deputatskiy,RU,69.3,139.9,53.92,36,63,20.13,broken clouds
115,Hirara,JP,24.8,125.2833,79.7,85,100,4.59,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,50.09,98,100,10.56,overcast clouds
117,Klaksvik,FO,62.2266,-6.589,45.52,86,100,12.15,overcast clouds
118,Vanimo,PG,-2.6741,141.3028,84.65,75,93,6.85,light rain
119,Hilo,US,19.7297,-155.09,77.79,94,81,10.11,moderate rain
120,Khurba,RU,50.4072,136.8819,56.16,61,100,5.73,overcast clouds
121,Ilulissat,GL,69.2167,-51.1,48.22,27,66,18.41,broken clouds
122,Curitibanos,BR,-27.2828,-50.5844,48.6,100,39,1.79,scattered clouds
123,Talnakh,RU,69.4865,88.3972,30.58,96,79,6.38,broken clouds
124,Saint Anthony,US,45.0205,-93.218,60.73,44,40,1.99,scattered clouds
125,Lavrentiya,RU,65.5833,-171.0,35.8,86,17,7.74,few clouds
126,Sitka,US,57.0531,-135.33,52.32,74,100,4.36,overcast clouds
127,Ponta Do Sol,PT,32.6667,-17.1,69.01,76,60,6.13,broken clouds
128,Erzin,TR,36.9559,36.2,68.72,88,57,1.92,broken clouds
129,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,5.75,broken clouds
130,New Norfolk,AU,-42.7826,147.0587,56.91,52,3,2.75,clear sky
131,Georgetown,MY,5.4112,100.3354,88.9,72,20,1.01,few clouds
132,Mae Sai,TH,20.4335,99.8762,86.45,79,97,3.11,overcast clouds
133,Pisco,PE,-13.7,-76.2167,66.02,88,88,4.45,overcast clouds
134,Lorengau,PG,-2.0226,147.2712,83.48,81,34,10.96,scattered clouds
135,Batagay-Alyta,RU,67.8006,130.4114,49.64,50,45,19.48,scattered clouds
136,Solnechnyy,RU,50.7214,136.6319,52.81,67,100,1.9,overcast clouds
137,Upington,ZA,-28.4478,21.2561,47.95,65,100,5.95,overcast clouds
138,Clyde River,CA,70.4692,-68.5914,19.11,87,5,4.16,clear sky
139,Plettenberg Bay,ZA,-34.0527,23.3716,55.56,86,100,5.75,light rain
140,Khatanga,RU,71.9667,102.5,50.32,73,44,6.22,scattered clouds
141,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.09,73,62,7.18,broken clouds
142,Bahia De Caraquez,EC,-0.6,-80.4167,74.48,88,83,6.71,broken clouds
143,Srednekolymsk,RU,67.45,153.6833,63.25,27,14,13.18,few clouds
144,Katangli,RU,51.7102,143.2326,41.68,77,88,14.36,overcast clouds
145,Rafai,CF,4.95,23.9167,68.38,97,86,1.7,overcast clouds
146,Saint-Pierre,RE,-21.3393,55.4781,67.68,56,0,6.91,clear sky
147,Cidreira,BR,-30.1811,-50.2056,55.85,74,7,12.62,clear sky
148,Caxias,PT,38.7031,-9.2767,62.24,80,20,1.99,few clouds
149,Aripuana,BR,-9.1667,-60.6333,71.83,64,8,1.14,clear sky
150,Kalmunai,LK,7.4167,81.8167,84.22,70,99,2.73,overcast clouds
151,Kruisfontein,ZA,-34.0033,24.7314,52.88,91,64,2.17,light rain
152,Novyy Urengoy,RU,66.0833,76.6333,54.68,77,100,9.35,overcast clouds
153,Avarua,CK,-21.2078,-159.775,77.05,61,20,5.75,few clouds
154,Faanui,PF,-16.4833,-151.75,80.26,70,84,9.89,broken clouds
155,Harper,LR,4.375,-7.7169,79.27,88,72,8.41,moderate rain
156,Sokoni,TZ,-6.4333,39.55,77.67,76,76,8.88,light rain
157,Beloha,MG,-25.1667,45.05,61.68,87,0,5.3,clear sky
158,Mari-Turek,RU,56.7895,49.6235,55.42,91,52,13.85,broken clouds
159,Bandar-E Lengeh,IR,26.5579,54.8807,87.76,66,0,11.5,clear sky
160,Nome,US,64.5011,-165.4064,53.11,32,0,18.23,clear sky
161,Milton,US,34.1322,-84.3007,64.38,74,1,1.99,clear sky
162,Kolyshley,RU,52.7005,44.5367,66.11,78,24,3.87,few clouds
163,Mackenzie,CA,55.2999,-123.1698,58.91,44,82,5.84,broken clouds
164,Sao Filipe,CV,14.8961,-24.4956,72.66,79,92,11.39,overcast clouds
165,Volokonovka,RU,50.4827,37.8563,60.57,95,99,4.18,moderate rain
166,Bengkulu,ID,-3.8004,102.2655,82.29,68,100,0.69,overcast clouds
167,Champerico,GT,14.3,-91.9167,82.35,73,64,6.58,broken clouds
168,Kavieng,PG,-2.5744,150.7967,83.62,78,90,13.62,light rain
169,Kieta,PG,-6.2167,155.6333,82.83,74,47,3.8,light rain
170,Halifax,CA,44.6453,-63.5724,41.68,91,100,1.99,overcast clouds
171,Seoul,KR,37.5683,126.9778,71.04,33,4,2.44,clear sky
172,Tatarsk,RU,55.219,75.9828,68.14,44,6,11.01,clear sky
173,Grand Gaube,MU,-20.0064,57.6608,74.37,88,25,3.0,scattered clouds
174,San Cristobal,VE,7.7669,-72.225,65.71,97,99,1.25,overcast clouds
175,Banda Aceh,ID,5.5577,95.3222,82.9,74,100,10.29,light rain
176,Santa Maria,BR,-29.6842,-53.8069,48.02,86,0,1.36,clear sky
177,Ostrovnoy,RU,68.0531,39.5131,36.63,81,85,15.59,overcast clouds
178,Ucluelet,CA,48.9329,-125.5528,67.08,75,89,1.99,overcast clouds
179,Norman Wells,CA,65.282,-126.8329,39.18,70,99,5.88,overcast clouds
180,Oriental,MX,19.3667,-97.6167,61.36,78,89,6.38,overcast clouds
181,Mahibadhoo,MV,3.7833,72.9667,83.77,72,66,20.11,broken clouds
182,Provideniya,RU,64.3833,-173.3,47.01,43,0,6.17,clear sky
183,Wakkanai,JP,45.4094,141.6739,42.1,94,100,19.95,overcast clouds
184,Wewak,PG,-3.5534,143.6268,83.5,77,100,8.79,overcast clouds
185,Progreso,MX,21.2833,-89.6667,82.51,83,5,12.53,clear sky
186,Nagamangala,IN,12.8156,76.7575,74.89,70,74,10.85,broken clouds
187,Pingliang,CN,35.5392,106.6861,83.48,19,19,3.65,few clouds
188,Barrow,US,71.2906,-156.7887,28.42,93,90,10.36,overcast clouds
189,Zyryanka,RU,65.75,150.85,62.69,34,3,20.85,clear sky
190,Junction City,US,39.0286,-96.8314,56.8,83,1,1.99,clear sky
191,Caravelas,BR,-17.7125,-39.2481,73.65,91,10,5.73,clear sky
192,Souillac,MU,-20.5167,57.5167,74.35,87,6,7.38,clear sky
193,Mercedes,AR,-34.6515,-59.4307,46.02,66,100,6.44,overcast clouds
194,Labuhan,ID,-6.8844,112.2051,85.23,66,83,2.55,broken clouds
195,Buraydah,SA,26.326,43.975,86.02,16,0,7.92,clear sky
196,Shu,KZ,43.5983,73.7614,77.23,41,79,4.52,broken clouds
197,Saint-Francois,FR,46.4154,3.9054,47.68,83,0,0.0,clear sky
198,Sistranda,NO,63.7256,8.834,47.89,84,10,6.93,clear sky
199,Mackay,AU,-21.15,149.2,73.69,76,49,18.59,scattered clouds
200,Tchollire,CM,8.4022,14.1698,76.53,62,86,3.58,overcast clouds
201,Charters Towers,AU,-20.1,146.2667,75.06,46,29,12.62,scattered clouds
202,Povenets,RU,62.8487,34.8262,38.52,71,8,5.01,clear sky
203,Henties Bay,NA,-22.116,14.2845,55.85,91,80,7.45,broken clouds
204,Kaspiyskiy,RU,45.3929,47.3707,74.95,56,55,8.41,broken clouds
205,Gladstone,AU,-23.85,151.25,76.78,35,94,12.66,overcast clouds
206,Nanortalik,GL,60.1432,-45.2371,35.56,98,100,6.46,light rain
207,Verkhnyaya Inta,RU,65.9811,60.3094,40.75,52,100,11.01,overcast clouds
208,Makakilo City,US,21.3469,-158.0858,78.69,64,69,4.74,broken clouds
209,San Juan,AR,-31.5375,-68.5364,62.73,49,0,4.76,clear sky
210,Boralday,KZ,43.3578,76.8594,71.46,56,40,4.29,scattered clouds
211,Tucurui,BR,-3.7661,-49.6725,76.19,79,85,3.22,overcast clouds
212,Toora-Khem,RU,52.4675,96.11,43.39,52,100,9.73,overcast clouds
213,Atambua,ID,-9.1061,124.8925,82.42,54,87,2.33,overcast clouds
214,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,87,40,5.48,scattered clouds
215,Mogadishu,SO,2.0371,45.3438,77.76,81,93,11.48,overcast clouds
216,Arona,ES,28.0996,-16.681,60.82,70,20,3.0,few clouds
217,Garoua,CM,9.3,13.4,81.77,54,39,3.91,scattered clouds
218,Krasnoarmeysk,RU,51.0239,45.6969,67.06,82,16,7.7,few clouds
219,Kattivakkam,IN,13.2167,80.3167,89.08,69,58,4.97,broken clouds
220,Namatanai,PG,-3.6667,152.4333,83.75,73,67,6.26,light rain
221,Sakakah,SA,29.9697,40.2064,80.42,18,93,6.11,overcast clouds
222,Saint-Joseph,RE,-21.3667,55.6167,66.58,75,0,6.2,clear sky
223,San Andres,CO,12.5847,-81.7006,81.39,76,13,14.34,few clouds
224,Amparafaravola,MG,-17.5833,48.2167,57.51,97,0,0.96,clear sky
225,Methoni,GR,36.8197,21.7049,68.22,72,100,0.74,overcast clouds
226,Richards Bay,ZA,-28.783,32.0377,60.85,90,19,5.57,few clouds
227,Port Elizabeth,ZA,-33.918,25.5701,55.09,81,86,5.37,light rain
228,Narsaq,GL,60.9167,-46.05,39.42,98,100,3.71,light rain
229,Pochutla,MX,15.7432,-96.4661,77.83,77,28,1.52,scattered clouds
